Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
DaVinci Resolve		Public	Yes	Allow	No	C:\imaad\applications\davinci resolve files\resolve.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9011\discord.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9010\discord.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9147\discord.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9010\discord.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9147\discord.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
discord.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\discord\app-1.0.9011\discord.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
DyingLight		Private, Public	Yes	Allow	No	C:\imaad\applications\dyinglight\dyinglight\dyinglightgame.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
DyingLight		Private, Public	Yes	Allow	No	C:\imaad\applications\dyinglight\dyinglight\dyinglightgame.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
EpicGamesLauncher		Public	Yes	Allow	No	C:\imaad\applications\epic games\launcher\portal\binaries\win64\epicgameslauncher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
EpicGamesLauncher		Public	Yes	Allow	No	C:\imaad\applications\epic games\launcher\portal\binaries\win64\epicgameslauncher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
EpicWebHelper		Public	Yes	Block	No	C:\imaad\applications\epic games\launcher\engine\binaries\win64\epicwebhelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
EpicWebHelper		Public	Yes	Block	No	C:\imaad\applications\epic games\launcher\engine\binaries\win64\epicwebhelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
fallguys_client_game		Public	Yes	Allow	No	C:\imaad\applications\fall guys\fallguys\fallguys_client_game.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
fallguys_client_game		Public	Yes	Allow	No	C:\imaad\applications\fall guys\fallguys\fallguys_client_game.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Fortnite		Public	Yes	Allow	No	C:\imaad\applications\fardnight\fortnite\fortnitegame\binaries\win64\fortniteclient-win64-shipping.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Fortnite		Public	Yes	Allow	No	C:\imaad\applications\fardnight\fortnite\fortnitegame\binaries\win64\fortniteclient-win64-shipping.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
fortniteclient-win64-shipping.exe		Public	Yes	Allow	No	C:\users\kiit\documents\my games\fortnite\fortnitegame\binaries\win64\fortniteclient-win64-shipping.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
fortniteclient-win64-shipping.exe		Public	Yes	Allow	No	C:\users\kiit\documents\my games\fortnite\fortnitegame\binaries\win64\fortniteclient-win64-shipping.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Friends vs Friends		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Friends vs Friends\EACLauncher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Friends vs Friends		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Friends vs Friends\EACLauncher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
FusionScript services for Fusion		Public	Yes	Allow	No	C:\imaad\applications\davinci resolve files\fuscript.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
FusionScript services for Fusion		Public	Yes	Allow	No	C:\imaad\applications\davinci resolve files\fuscript.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
FvF Client		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Friends vs Friends\Friends vs Friends.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
FvF Client		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Friends vs Friends\Friends vs Friends.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
GIANTS Engine 9.0.0		Public	Yes	Allow	No	C:\imaad\applications\farmsim\farmingsimulator22\x64\farmingsimulator2022game.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
GIANTS Engine 9.0.0		Public	Yes	Allow	No	C:\imaad\applications\farmsim\farmingsimulator22\x64\farmingsimulator2022game.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
HandyGamePad.WindowsServer.exe		All	Yes	Allow	No	C:\Program Files (x86)\HandyGamePad\HandyGamePad.WindowsServer.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Hide.me allow UPnP		Public	Yes	Allow	No	Any	Any	10.255.255.250	UDP	Any	1900	Any	Any	Any	Any	None	Any	
java		Public	Yes	Block	No	C:\users\kiit\.vscode\extensions\redhat.java-1.38.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
java		Public	Yes	Allow	No	C:\users\kiit\.vscode\extensions\redhat.java-1.37.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
java		Public	Yes	Allow	No	C:\users\kiit\.vscode\extensions\redhat.java-1.37.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
java		Public	Yes	Allow	No	C:\users\kiit\.vscode\extensions\redhat.java-1.36.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
java		Public	Yes	Allow	No	C:\users\kiit\.vscode\extensions\redhat.java-1.36.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
java		Public	Yes	Block	No	C:\users\kiit\.vscode\extensions\redhat.java-1.38.0-win32-x64\jre\17.0.13-win32-x86_64\bin\java.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Logitech Gaming Framework		Public	Yes	Allow	No	C:\program files\logitech gaming software\lcore.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Logitech Gaming Framework		Public	Yes	Allow	No	C:\program files\logitech gaming software\lcore.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Midnight Ghost Hunt		Public	Yes	Allow	No	C:\imaad\applications\midnight ghost hunt\midnightghosthunt\midnightghosthunt\binaries\win64\midnightghosthunt-win64-shipping.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Midnight Ghost Hunt		Public	Yes	Allow	No	C:\imaad\applications\midnight ghost hunt\midnightghosthunt\midnightghosthunt\binaries\win64\midnightghosthunt-win64-shipping.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Mortal Kombat XL		Public	Yes	Allow	No	D:\me\vedang games\mortal kombat xl\binaries\retail\mk10.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Mortal Kombat XL		Public	Yes	Allow	No	D:\me\vedang games\mortal kombat xl\binaries\retail\mk10.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
OBS Studio		Public	Yes	Allow	No	C:\imaad\applications\obs\obs-studio\bin\64bit\obs64.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
OBS Studio		Public	Yes	Allow	No	C:\imaad\applications\obs\obs-studio\bin\64bit\obs64.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.2\bin\packettracer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.2\bin\packettracer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Red Dead Redemption 2		Public	Yes	Allow	No	C:\imaad\applications\rdronline\reddeadredemption2\rdr2.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Red Dead Redemption 2		Public	Yes	Allow	No	C:\imaad\applications\rdronline\reddeadredemption2\rdr2.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Gamepad		Public	Yes	Allow	No	C:\program files\smartfusionlabs\remote gamepad\remote gamepad.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Gamepad		Public	Yes	Allow	No	C:\program files\smartfusionlabs\remote gamepad\remote gamepad.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Gamepad tcp		All	Yes	Allow	No	C:\Program Files\SmartFusionLabs\Remote Gamepad\Remote Gamepad.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Remote Gamepad udp		All	Yes	Allow	No	C:\Program Files\SmartFusionLabs\Remote Gamepad\Remote Gamepad.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Riot Client		Public	Yes	Allow	No	C:\riot games\riot client\riotclientservices.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Riot Client		Public	Yes	Allow	No	C:\riot games\riot client\riotclientservices.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Riot Client		Public	Yes	Allow	No	C:\riot games\riot client\riotclientelectron\riot client.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Riot Client		Public	Yes	Allow	No	C:\riot games\riot client\riotclientelectron\riot client.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Rocket League		Public	Yes	Allow	No	C:\imaad\applications\rl\rocketleague\binaries\win64\rocketleague.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Rocket League		Public	Yes	Allow	No	C:\imaad\applications\rl\rocketleague\binaries\win64\rocketleague.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Steam		All	Yes	Allow	No	C:\Imaad\applications\steam\Steam.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Steam		All	Yes	Allow	No	C:\Imaad\applications\steam\Steam.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Steam		All	Yes	Allow	No	C:\Program Files (x86)\Steam\Steam.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Steam		All	Yes	Allow	No	C:\Program Files (x86)\Steam\Steam.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Steam Web Helper		All	Yes	Allow	No	C:\Imaad\applications\steam\bin\cef\cef.win7x64\steamwebhelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Steam Web Helper		All	Yes	Allow	No	C:\Imaad\applications\steam\bin\cef\cef.win7x64\steamwebhelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Steam Web Helper		All	Yes	Allow	No	C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Steam Web Helper		All	Yes	Allow	No	C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
stremio-runtime.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\programs\lnv\stremio-4\stremio-runtime.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
stremio-runtime.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\programs\lnv\stremio-4\stremio-runtime.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
UnrealEditor		Public	Yes	Allow	No	C:\imaad\unreal engine 5.3\ue_5.3\engine\binaries\win64\unrealeditor.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
UnrealEditor		Public	Yes	Allow	No	C:\imaad\unreal engine 5.3\ue_5.3\engine\binaries\win64\unrealeditor.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
unrealtraceserver.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\unrealengine\common\unrealtrace\bin\00010011\unrealtraceserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
unrealtraceserver.exe		Public	Yes	Allow	No	C:\users\kiit\appdata\local\unrealengine\common\unrealtrace\bin\00010011\unrealtraceserver.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VALORANT		Public	Yes	Allow	No	C:\riot games\valorant\live\shootergame\binaries\win64\valorant-win64-shipping.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
VALORANT		Public	Yes	Allow	No	C:\riot games\valorant\live\shootergame\binaries\win64\valorant-win64-shipping.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\kiit\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Allow	No	C:\users\kiit\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	CBT-22052818\KIIT	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25094.310.3616.953_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25094.310.3616.953_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_24348.802.3311.5092_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_24348.802.3311.5092_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8088	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	UDP	8088	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	UDP	57621	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	57621-57631	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8080-8082	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	4381-4390	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	4371-4379	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.264.408.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	8443	Any	Any	Any	Any	Any	None	Any	
Brave (mDNS-In)	Brave	All	Yes	Allow	No	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device UPnP Events (TCP-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)	Connected Devices Platform	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol (DHCP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	68	67	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	546	547	Any	Any	Any	Any	None	Any	
Core Networking - Internet Group Management Protocol (IGMP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IGMP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPHTTPS (TCP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	TCP	IPHTTPS	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPv6 (IPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Done (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Query (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report v2 (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Packet Too Big (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Parameter Problem (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	fe80::/64	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Teredo (UDP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Edge Traversal	Any	Any	Any	Any	Any	None	Any	
Core Networking - Time Exceeded (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)	Core Networking Diagnostics	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Delivery Optimization (TCP-In)	Delivery Optimization	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	7680	Any	Any	Any	Any	Any	None	Any	
